Order,Common name,Latin name,ESA,Watchlist/
,Willow Flycatcher,Empidonax traillii ,(e),X
,Least Flycatcher,Empidonax minimus ,,
,Hammond's Flycatcher,Empidonax hammondii ,,
,Gray Flycatcher,Empidonax wrightii ,,
,Dusky Flycatcher,Empidonax oberholseri ,,
,Pacific-slope Flycatcher,Empidonax difficilis ,,
,Cordilleran Flycatcher,Empidonax occidentalis ,,
,Buff-breasted Flycatcher,Empidonax fulvifrons ,,
,Eastern Phoebe,Sayornis phoebe ,,
,Say's Phoebe,Sayornis saya ,,
,Vermilion Flycatcher,Pyrocephalus rubinus ,,
,Dusky-capped Flycatcher,Myiarchus tuberculifer ,,
,Ash-throated Flycatcher,Myiarchus cinerascens ,,
,Great Crested Flycatcher,Myiarchus crinitus ,,
,Brown-crested Flycatcher,Myiarchus tyrannulus ,,
,Sulphur-bellied Flycatcher,Myiodynastes luteiventris ,,
,Tropical Kingbird,Tyrannus melancholicus ,,
,Couch's Kingbird,Tyrannus couchii ,,
,Cassin's Kingbird,Tyrannus vociferans ,,
,Thick-billed Kingbird,Tyrannus crassirostris ,,X
,Western Kingbird,Tyrannus verticalis ,,
,Eastern Kingbird,Tyrannus tyrannus ,,
,Gray Kingbird,Tyrannus dominicensis ,,
,Scissor-tailed Flycatcher,Tyrannus forficatus ,,
,Rose-throated Becard,Pachyramphus aglaiae,,
,,,,
,Loggerhead Shrike,Lanius ludovicianus ,(e),X
,,,,
,White-eyed Vireo,Vireo griseus ,,
,Bell's Vireo,Vireo bellii ,(e),X
,Black-capped Vireo,Vireo atricapilla,E,
,Gray Vireo,Vireo vicinior ,,X
,Yellow-throated Vireo,Vireo flavifrons ,,
,Plumbeous Vireo,Vireo plumbeus ,,
,Cassin's Vireo,Vireo cassinii ,,
,Blue-headed Vireo,Vireo solitarius ,,
,Warbling Vireo,Vireo gilvus ,,
,Philadelphia Vireo,Vireo philadelphicus ,,
,Red-eyed Vireo,Vireo olivaceus ,,
,Yellow-green Vireo,Vireo flavoviridis ,,
,Black-whiskered Vireo,Vireo altiloquus ,,
,,,,
,Purple Martin,Progne subis ,,
,Tree Swallow,Tachycineta bicolor ,,
,Violet-green Swallow,Tachycineta thalassina ,,
,Northern Rough-winged Swallow,Stelgidopteryx serripennis ,,
,Bank Swallow,Riparia riparia ,,
,Cliff Swallow,Petrochelidon pyrrhonota ,,
,Cave Swallow,Petrochelidon fulva ,,
,Barn Swallow,Hirundo rustica ,,
,,,,
,House Wren,Troglodytes aedon ,,
,Sedge Wren,Cistothorus platensis ,,
,Marsh Wren,Cistothorus palustris ,,
,,,,
,Golden-crowned Kinglet,Regulus satrapa ,,
,Ruby-crowned Kinglet,Regulus calendula ,,
,,,,
,Blue-gray Gnatcatcher,Polioptila caerulea ,,
,,,,
,Eastern Bluebird,Sialia sialis ,,
,Western Bluebird,Sialia mexicana ,,
,Mountain Bluebird,Sialia currucoides ,,
,Townsend's Solitaire,Myadestes townsendi ,,
,Veery,Catharus fuscescens ,,
,Gray-cheeked Thrush,Catharus minimus ,,
,Bicknell's Thrush *,Catharus bicknelli  *,,X
,Swainson's Thrush,Catharus ustulatus ,,
,Hermit Thrush,Catharus guttatus ,,
,Wood Thrush,Hylocichla mustelina ,,X
,American Robin,Turdus migratorius ,,
,,,,
,Gray Catbird,Dumetella carolinensis ,,
,Sage Thrasher,Oreoscoptes montanus ,,
,Bendire's Thrasher,Toxostoma bendirei ,,X
,,,,
,American Pipit,Anthus rubescens ,,
,Sprague's Pipit *,Anthus spragueii  *,,X
,,,,
,Cedar Waxwing,Bombycilla cedrorum ,,
,Phainopepla,Phainopepla nitens ,,
,,,,
,Bachman's Warbler,Vermivora bachmanii  ,E,
,Blue-winged Warbler,Vermivora pinus ,,X
,Golden-winged Warbler *,Vermivora chrysoptera  *,,X
,Tennessee Warbler,Vermivora peregrina ,,
,Orange-crowned Warbler,Vermivora celata ,,
,Nashville Warbler,Vermivora ruficapilla ,,
,Virginia's Warbler,Vermivora virginiae ,,X
,Colima Warbler,Vermivora crissalis ,,X
,Lucy's Warbler,Vermivora luciae  ,,X
,Northern Parula,Parula americana ,,
,Tropical Parula,Parula pitiayumi ,,
,Yellow Warbler,Dendroica petechia ,,
,Chestnut-sided Warbler,Dendroica pensylvanica ,,
,Magnolia Warbler,Dendroica magnolia ,,
,Cape May Warbler,Dendroica tigrina ,,
,Black-throated Blue Warbler,Dendroica caerulescens ,,
,Yellow-rumped Warbler,Dendroica coronata ,,
,Black-throated Gray Warbler,Dendroica nigrescens ,,
,Golden-cheeked Warbler *,Dendroica chrysoparia  *,E,
,Black-throated Green Warbler,Dendroica virens ,,
,Townsend's Warbler,Dendroica townsendi ,,
,Hermit Warbler,Dendroica occidentalis ,,X
,Blackburnian Warbler,Dendroica fusca ,,
,Yellow-throated Warbler,Dendroica dominica ,,
,Grace's Warbler,Dendroica graciae ,,X
,Pine Warbler,Dendroica pinus ,,
,Kirtland's Warbler *,Dendroica kirtlandii  *,E,
,Prairie Warbler,Dendroica discolor ,,X
,Palm Warbler,Dendroica palmarum ,,
,Bay-breasted Warbler,Dendroica castanea ,,X
,Blackpoll Warbler,Dendroica striata ,,
,Cerulean Warbler *,Dendroica cerulea  *,,X
,Black-and-white Warbler,Mniotilta varia ,,
,American Redstart,Setophaga ruticilla ,,
,Prothonotary Warbler,Protonotaria citrea ,,X
,Worm-eating Warbler,Helmitheros vermivorum,,X
,Swainson's Warbler,Limnothlypis swainsonii ,,X
,Ovenbird,Seiurus aurocapilla,,
,Northern Waterthrush,Seiurus noveboracensis ,,
,Louisiana Waterthrush,Seiurus motacilla ,,
,Kentucky Warbler,Oporornis formosus ,,X
,Connecticut Warbler,Oporornis agilis ,,
,Mourning Warbler,Oporornis philadelphia ,,
,MacGillivray's Warbler,Oporornis tolmiei ,,
,Common Yellowthroat,Geothlypis trichas ,,
,Hooded Warbler,Wilsonia citrina ,,
,Wilson's Warbler,Wilsonia pusilla ,,
,Canada Warbler,Wilsonia canadensis ,,X
,Red-faced Warbler,Cardellina rubrifrons ,,X
,Painted Redstart,Myioborus pictus ,,
,Yellow-breasted Chat,Icteria virens ,,
,,,,
,Hepatic Tanager,Piranga flava,,
,Summer Tanager,Piranga rubra,,
,Scarlet Tanager,Piranga olivacea,,
,Western Tanager,Piranga ludoviciana,,
,,,,
,Green-tailed Towhee,Pipilo chlorurus ,,
,Spotted Towhee,Pipilo maculatus ,,
,Cassin's Sparrow,Aimophila cassinii ,,
,Chipping Sparrow,Spizella passerina ,,
,Clay-colored Sparrow,Spizella pallida ,,
,Brewer's Sparrow,Spizella breweri ,,X
,Field Sparrow,Spizella pusilla ,,
,Black-chinned Sparrow,Spizella atrogularis ,,X
,Vesper Sparrow,Pooecetes gramineus ,,
,Lark Sparrow,Chondestes grammacus ,,
,Black-throated Sparrow,Amphispiza bilineata ,,
,Sage Sparrow,Amphispiza belli ,(t),X
,Lark Bunting,Calamospiza melanocorys ,,X
,Savannah Sparrow,Passerculus sandwichensis ,,
,Grasshopper Sparrow,Ammodramus savannarum ,(e),
,Baird's Sparrow,Ammodramus bairdii ,,X
,Fox Sparrow,Passerella iliaca ,,
,Song Sparrow,Melospiza melodia ,,
,Lincoln's Sparrow,Melospiza lincolnii ,,
,Swamp Sparrow,Melospiza georgiana ,,
,White-crowned Sparrow,Zonotrichia leucophrys ,,
,Golden-crowned Sparrow,Zonotrichia atricapilla ,,
,Dark-eyed Junco,Junco hyemalis ,,
,McCown's Longspur,Calcarius mccownii ,,X
,Chestnut-collared Longspur,Calcarius ornatus,,X
,,,,
,Rose-breasted Grosbeak,Pheucticus ludovicianus ,,
,Black-headed Grosbeak,Pheucticus melanocephalus ,,
,Blue Grosbeak,Passerina caerulea ,,
,Lazuli Bunting,Passerina amoena ,,
,Indigo Bunting,Passerina cyanea ,,
,Varied Bunting,Passerina versicolor ,,X
,Painted Bunting *,Passerina ciris  *,,X
,Dickcissel,Spiza americana ,,X
,,,,
,Bobolink,Dolichonyx oryzivorus ,,
,Red-winged Blackbird,Agelaius phoeniceus ,,
,Eastern Meadowlark,Sturnella magna ,,
,Western Meadowlark,Sturnella neglecta ,,
,Yellow-headed Blackbird,Xanthocephalus xanthocephalus ,,
,Brewer's Blackbird,Euphagus cyanocephalus ,,
,Bronzed Cowbird,Molothrus aeneus ,,
,Brown-headed Cowbird,Molothrus ater ,,
,Orchard Oriole,Icterus spurius ,,
,Hooded Oriole,Icterus cucullatus ,,
,Bullock's Oriole,Icterus bullockii ,,
,Baltimore Oriole,Icterus galbula ,,
,Scott's Oriole,Icterus parisorum ,,
,,,,
,Cassin's Finch,Carpodacus cassinii ,,
,Pine Siskin,Carduelis pinus ,,
,Lesser Goldfinch,Carduelis psaltria ,,
,Lawrence's Goldfinch,Carduelis lawrencei ,,X
,American Goldfinch,Carduelis tristis ,,
