Column name,Category,Description,Units
elevation_150_mean,geo,"mean of elevation within 150 km radius, derived from 5 km aggregated SRTM pixels",m
elevation_200_mean,geo,"mean of elevation within 200 km radius, derived from 5 km aggregated SRTM pixels",m
elevation_300_mean,geo,"mean of elevation within 300 km radius, derived from 5 km aggregated SRTM pixels",m
elevation_400_mean,geo,"mean of elevation within 400 km radius, derived from 5 km aggregated SRTM pixels",m
elevation_500_mean,geo,"mean of elevation within 500 km radius, derived from 5 km aggregated SRTM pixels",m
geoage_5_diversity,geo,"diversity of geological age within 5 km radius, derived from 5 km aggregated geo age pixels",unitless
geoage_10_diversity,geo,"diversity of geological age within 10 km radius, derived from 5 km aggregated geo age pixels",unitless
geoage_20_diversity,geo,"diversity of geological age within 20 km radius, derived from 5 km aggregated geo age pixels",unitless
geoage_30_diversity,geo,"diversity of geological age within 30 km radius, derived from 5 km aggregated geo age pixels",unitless
geoage_40_diversity,geo,"diversity of geological age within 40 km radius, derived from 5 km aggregated geo age pixels",unitless
geoage_50_diversity,geo,"diversity of geological age within 50 km radius, derived from 5 km aggregated geo age pixels",unitless
geoage_75_diversity,geo,"diversity of geological age within 75 km radius, derived from 5 km aggregated geo age pixels",unitless
geoage_100_diversity,geo,"diversity of geological age within 100 km radius, derived from 5 km aggregated geo age pixels",unitless
geoage_150_diversity,geo,"diversity of geological age within 150 km radius, derived from 5 km aggregated geo age pixels",unitless
geoage_200_diversity,geo,"diversity of geological age within 200 km radius, derived from 5 km aggregated geo age pixels",unitless
geoage_300_diversity,geo,"diversity of geological age within 300 km radius, derived from 5 km aggregated geo age pixels",unitless
geoage_400_diversity,geo,"diversity of geological age within 400 km radius, derived from 5 km aggregated geo age pixels",unitless
geoage_500_diversity,geo,"diversity of geological age within 500 km radius, derived from 5 km aggregated geo age pixels",unitless
geoage_5_mode,geo,"mode of geological age within 5 km radius, derived from 5 km aggregated geo age pixels",categorical
geoage_10_mode,geo,"mode of geological age within 10 km radius, derived from 5 km aggregated geo age pixels",categorical
geoage_20_mode,geo,"mode of geological age within 20 km radius, derived from 5 km aggregated geo age pixels",categorical
geoage_30_mode,geo,"mode of geological age within 30 km radius, derived from 5 km aggregated geo age pixels",categorical
geoage_40_mode,geo,"mode of geological age within 40 km radius, derived from 5 km aggregated geo age pixels",categorical
geoage_50_mode,geo,"mode of geological age within 50 km radius, derived from 5 km aggregated geo age pixels",categorical
geoage_75_mode,geo,"mode of geological age within 75 km radius, derived from 5 km aggregated geo age pixels",categorical
geoage_100_mode,geo,"mode of geological age within 100 km radius, derived from 5 km aggregated geo age pixels",categorical
geoage_150_mode,geo,"mode of geological age within 150 km radius, derived from 5 km aggregated geo age pixels",categorical
geoage_200_mode,geo,"mode of geological age within 200 km radius, derived from 5 km aggregated geo age pixels",categorical
geoage_300_mode,geo,"mode of geological age within 300 km radius, derived from 5 km aggregated geo age pixels",categorical
geoage_400_mode,geo,"mode of geological age within 400 km radius, derived from 5 km aggregated geo age pixels",categorical
geoage_500_mode,geo,"mode of geological age within 500 km radius, derived from 5 km aggregated geo age pixels",categorical
alpha_point,bio,"alpha diversity at point (BBS: richness, FIA: effective species number)",number of species
alpha_5,bio,"average alpha diversity in 5 km radius (BBS: richness, FIA: effective species number)",number of species
alpha_10,bio,"average alpha diversity in 10 km radius (BBS: richness, FIA: effective species number)",number of species
alpha_20,bio,"average alpha diversity in 20 km radius (BBS: richness, FIA: effective species number)",number of species
alpha_50,bio,"average alpha diversity in 50 km radius (BBS: richness, FIA: effective species number)",number of species
alpha_75,bio,"average alpha diversity in 75 km radius (BBS: richness, FIA: effective species number)",number of species
alpha_100,bio,"average alpha diversity in 100 km radius (BBS: richness, FIA: effective species number)",number of species
alpha_150,bio,"average alpha diversity in 150 km radius (BBS: richness, FIA: effective species number)",number of species
alpha_200,bio,"average alpha diversity in 200 km radius (BBS: richness, FIA: effective species number)",number of species
alpha_300,bio,"average alpha diversity in 300 km radius (BBS: richness, FIA: effective species number)",number of species
beta_5,bio,"average beta diversity in 5 km radius (BBS: incidence based, FIA: abundance based)",proportion
beta_10,bio,"average beta diversity in 10 km radius (BBS: incidence based, FIA: abundance based)",proportion
beta_20,bio,"average beta diversity in 20 km radius (BBS: incidence based, FIA: abundance based)",proportion
beta_50,bio,"average beta diversity in 50 km radius (BBS: incidence based, FIA: abundance based)",proportion
beta_75,bio,"average beta diversity in 75 km radius (BBS: incidence based, FIA: abundance based)",proportion
beta_100,bio,"average beta diversity in 100 km radius (BBS: incidence based, FIA: abundance based)",proportion
beta_150,bio,"average beta diversity in 150 km radius (BBS: incidence based, FIA: abundance based)",proportion
beta_200,bio,"average beta diversity in 200 km radius (BBS: incidence based, FIA: abundance based)",proportion
beta_300,bio,"average beta diversity in 300 km radius (BBS: incidence based, FIA: abundance based)",proportion
gamma_5,bio,"average gamma diversity in 5 km radius (BBS: richness, FIA: effective species number)",number of species
gamma_10,bio,"average gamma diversity in 10 km radius (BBS: richness, FIA: effective species number)",number of species
gamma_20,bio,"average gamma diversity in 20 km radius (BBS: richness, FIA: effective species number)",number of species
gamma_50,bio,"average gamma diversity in 50 km radius (BBS: richness, FIA: effective species number)",number of species
gamma_75,bio,"average gamma diversity in 75 km radius (BBS: richness, FIA: effective species number)",number of species
gamma_100,bio,"average gamma diversity in 100 km radius (BBS: richness, FIA: effective species number)",number of species
gamma_150,bio,"average gamma diversity in 150 km radius (BBS: richness, FIA: effective species number)",number of species
gamma_200,bio,"average gamma diversity in 200 km radius (BBS: richness, FIA: effective species number)",number of species
gamma_300,bio,"average gamma diversity in 300 km radius (BBS: richness, FIA: effective species number)",number of species
